"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
"Tablet Galaxy Tab S7 FE Wifi+Lte (Negro)",80158621,,0,
"Computadora Dell Optiplex 994HG",28347194,,60,
